temperature,humidity,pest_level,crop_health
23.27,32.82,6,86.56
35.71,40.66,1,91.8
35.23,20.76,9,77.34
23.91,23.11,3,92.9
13.25,22.52,9,80.75
31.75,27.59,9,82.38
36.29,62.69,6,81.76
15.98,21.47,7,84.53
20.58,39.75,5,88.69
13.21,52.76,9,81.37
17.55,89.15,2,97.52
24.9,81.66,10,81.0
28.34,37.95,5,90.35
10.97,71.27,10,79.06
15.56,55.56,6,89.52
12.35,87.5,1,98.46
24.07,43.27,9,80.04
39.3,93.72,4,87.03
33.21,79.26,3,93.86
33.64,63.16,6,86.5
29.16,71.89,4,92.01
29.23,57.79,3,95.91
33.09,35.88,0,100
25.9,49.38,8,84.69
34.67,98.67,7,85.38
31.25,91.37,10,81.83
15.2,96.6,2,96.77
29.95,64.1,9,83.44
13.65,34.98,3,93.79
39.29,33.71,2,89.67
39.79,61.11,3,87.27
29.85,38.33,0,98.42
35.64,53.82,8,79.77
19.78,48.43,5,88.64
37.53,63.6,4,88.41
34.64,72.06,7,84.59
11.89,84.09,10,81.99
15.69,90.01,2,94.04
34.17,52.24,4,91.36
18.29,23.14,2,94.51
26.48,71.07,9,83.63
25.95,87.06,4,90.31
26.62,93.16,2,94.76
19.82,44.17,5,90.16
16.91,41.27,6,89.64
15.57,34.88,3,95.8
11.36,27.21,6,87.1
17.24,89.27,1,98.42
30.08,34.83,1,99.01
14.18,74.82,8,84.07
14.0,40.22,9,81.85
23.84,73.04,7,85.55
29.55,32.81,2,97.14
33.86,38.83,3,95.87
32.24,78.24,2,94.53
13.76,85.38,7,85.17
37.89,65.77,6,83.99
17.61,34.0,3,95.99
35.69,27.84,5,86.63
39.83,78.67,3,90.67
13.71,58.27,2,96.06
17.77,77.82,7,85.62
39.14,70.68,0,95.03
36.56,32.17,0,95.67
32.05,89.12,10,81.51
11.85,75.8,8,83.96
17.7,27.93,6,88.98
36.23,77.15,3,89.98
33.04,82.59,9,83.77
14.65,78.72,8,83.18
39.92,60.84,1,94.09
33.81,73.12,6,86.34
20.08,67.46,0,100
17.13,30.56,9,82.35
27.51,85.44,6,86.55
19.48,54.91,1,97.33
17.97,69.43,7,85.9
11.68,43.97,2,94.59
20.81,33.11,3,93.82
13.69,70.73,4,91.83
20.31,55.95,4,92.43
29.78,89.57,3,93.72
11.24,28.1,1,96.77
37.59,41.57,5,86.1
31.93,62.57,6,88.65
12.38,55.89,7,87.05
36.95,77.96,8,78.69
15.84,75.89,9,82.38
29.56,58.26,8,85.9
23.09,36.33,0,100
25.47,26.99,1,99.66
25.38,30.16,2,94.9
28.97,22.56,10,78.12
20.01,72.68,2,97.04
14.89,91.82,8,85.65
33.27,98.23,10,80.28
17.85,43.16,5,88.03
22.89,69.77,1,97.98
33.04,68.29,0,100
11.02,21.0,8,85.26
29.06,98.12,8,84.38
32.9,75.75,5,89.28
35.29,98.08,7,80.73
38.49,43.78,5,85.91
34.47,27.84,1,99.72
24.55,73.54,4,91.21
28.53,97.2,7,85.67
39.06,47.85,6,84.24
38.72,75.65,3,90.18
13.08,95.74,9,82.91
14.17,64.73,8,83.71
32.74,88.04,0,99.14
16.59,21.06,2,94.46
21.66,85.71,4,91.94
39.29,33.61,0,95.11
15.32,84.58,7,84.98
10.4,38.96,9,82.65
30.12,53.74,7,86.1
25.72,35.83,10,80.13
15.12,87.79,8,85.49
23.02,26.97,6,88.03
12.61,77.42,5,88.43
23.1,89.91,1,99.66
26.15,43.32,5,91.49
27.67,27.87,6,88.69
20.87,44.62,1,97.07
20.9,62.62,8,82.85
18.21,23.45,6,89.84
34.02,49.04,1,96.08
17.33,97.22,2,95.29
28.77,81.76,9,81.37
16.32,93.96,8,85.06
19.71,33.43,8,85.9
32.19,28.11,8,85.74
35.94,45.99,3,89.34
17.12,31.54,10,78.75
14.18,61.6,2,95.86
33.62,99.89,7,84.61
11.61,85.91,4,92.11
30.69,30.24,2,96.46
29.85,22.02,3,95.17
10.67,23.38,8,83.82
34.78,96.98,4,93.95
33.81,75.21,5,90.29
33.71,22.94,8,83.1
27.44,88.54,9,83.21
11.45,59.67,10,78.12
24.07,20.78,6,89.26
12.01,86.2,7,87.84
16.66,71.73,1,98.28
12.22,51.12,7,85.32
37.4,20.27,1,91.86
21.2,61.59,9,81.64
31.22,40.56,4,91.7
12.69,79.87,5,91.04
22.32,28.68,0,100
26.73,70.56,8,82.68
25.38,61.2,2,95.84
28.11,87.92,8,83.02
27.4,41.85,7,84.46
35.53,55.34,2,92.97
14.13,91.96,8,85.88
20.12,53.24,1,98.32
11.44,97.84,0,99.64
29.33,51.47,0,99.88
18.26,42.46,7,84.6
37.92,59.43,8,79.08
10.08,22.62,9,83.26
13.99,64.55,3,94.37
23.26,76.89,7,87.52
24.4,61.46,8,84.05
33.57,20.32,1,96.26
15.73,60.31,1,97.85
22.6,69.51,0,99.51
19.37,94.43,4,90.58
20.1,54.35,2,96.81
20.36,69.68,7,87.13
17.99,99.91,4,91.1
22.63,92.55,4,91.62
38.87,82.3,6,84.4
21.99,84.09,6,86.59
16.03,84.99,10,78.04
26.05,96.86,7,85.51
18.96,43.42,7,86.74
36.73,45.96,3,87.03
21.16,56.17,1,98.81
20.48,54.43,7,86.83
16.96,58.11,7,84.35
28.52,85.85,1,99.31
35.44,32.17,7,80.67
33.56,71.35,7,85.61
12.66,61.3,6,87.24
12.16,62.98,1,98.87
21.93,71.29,9,83.0
20.48,26.33,4,90.58
22.02,67.57,5,89.12
30.3,39.49,2,97.04
37.5,40.79,0,93.45
13.12,61.74,1,97.04
11.06,81.85,8,84.87
30.48,74.17,2,94.41
34.93,22.32,9,83.87
23.14,68.35,0,99.74
14.83,38.74,1,96.28
13.83,22.19,4,92.89
26.65,53.11,0,98.19
17.14,32.48,9,82.79
36.3,46.39,1,94.7
25.33,64.29,10,80.26
12.47,65.96,0,99.32
13.61,46.61,8,85.19
31.89,41.0,3,95.76
39.65,51.14,9,75.96
16.3,54.61,8,83.57
26.18,70.39,4,93.31
30.92,66.15,8,85.01
14.59,41.9,6,86.58
32.89,22.47,7,87.93
27.74,84.8,4,93.66
37.76,20.22,6,84.03
15.09,36.1,7,85.87
23.58,33.6,8,84.24
29.52,77.52,8,84.94
30.59,32.92,1,98.39
37.38,76.67,6,82.81
26.18,79.73,7,84.79
29.6,40.84,0,98.06
22.96,54.55,2,95.48
34.82,77.45,2,97.16
11.99,38.66,0,98.53
25.98,69.24,10,78.05
21.94,92.95,3,93.6
17.25,41.61,9,80.88
21.0,61.62,0,100
39.03,70.88,3,87.55
30.14,27.13,4,90.24
11.51,32.25,2,95.77
37.11,33.37,1,93.73
25.73,63.93,0,100
16.23,27.19,10,79.19
34.61,37.16,4,92.74
22.46,76.74,0,98.99
26.84,92.91,4,92.28
26.02,21.32,1,96.85
29.53,20.75,9,83.47
32.59,75.25,6,88.98
22.46,78.9,0,100
19.34,38.57,2,96.72
13.13,21.02,4,92.01
25.0,72.2,6,86.5
28.11,27.5,4,93.9
14.58,21.98,3,92.57
20.95,26.18,6,87.3
21.48,62.08,9,82.39
20.05,30.15,8,84.16
30.53,48.13,4,91.21
31.24,99.48,4,93.39
22.68,69.46,3,93.32
17.16,24.44,1,97.28
36.13,34.44,3,89.79
15.25,49.65,9,80.44
33.45,40.51,4,90.01
36.03,43.12,5,85.75
31.27,95.22,4,92.79
28.12,24.92,2,95.08
17.56,66.76,7,85.81
27.56,89.35,10,81.32
20.66,62.45,2,97.32
32.74,31.4,3,92.86
35.27,59.59,9,76.75
19.48,99.65,1,98.35
13.53,86.17,7,86.84
25.96,98.9,0,100
37.72,55.77,6,82.84
21.96,34.86,3,93.6
29.42,74.15,9,81.72
20.0,32.57,4,93.58
38.18,59.51,4,87.45
25.42,35.04,10,80.82
34.8,33.5,0,98.97
13.9,66.9,6,87.2
37.44,38.94,9,77.56
39.54,37.9,0,93.04
19.65,33.29,7,87.13
16.5,50.78,7,84.04
26.89,35.43,9,83.71
16.59,92.32,5,88.73
30.65,62.06,2,94.52
22.5,70.95,9,83.08
27.12,73.7,7,84.15
27.28,60.24,6,87.94
16.22,48.17,8,84.98
33.7,69.05,8,84.13
22.23,77.22,5,88.29
18.5,87.38,8,85.03
28.04,38.41,3,93.91
23.11,71.47,9,80.25
15.73,74.24,6,89.19
16.33,33.75,10,80.74
39.19,74.53,2,90.46
33.0,20.29,6,86.23
35.45,48.54,10,75.44
27.37,60.82,2,97.48
20.92,84.68,3,92.09
31.88,57.06,1,96.4
30.28,73.86,7,87.66
16.88,26.74,5,88.97
38.66,77.2,6,83.11
11.59,96.58,9,80.34
38.32,58.58,4,88.77
35.09,41.48,6,84.67
37.47,50.83,8,79.01
16.22,74.28,5,90.46
24.51,85.19,6,86.78
34.9,79.78,0,98.17
15.89,68.19,6,88.52
24.11,23.67,2,95.44
26.47,55.09,8,82.26
39.75,63.51,0,96.69
10.11,46.04,1,98.63
34.39,27.9,2,95.26
35.79,30.03,9,78.49
28.61,75.95,3,93.44
25.57,44.33,6,87.39
34.82,89.64,1,97.3
15.32,62.43,2,95.62
23.73,43.18,1,98.41
33.77,36.92,0,99.77
28.17,72.88,4,93.33
29.84,25.03,9,83.59
13.29,89.02,5,90.29
37.53,90.75,7,81.69
13.38,34.19,2,96.12
20.0,78.75,8,85.21
10.34,71.77,5,90.99
10.58,82.39,0,100
12.22,66.41,3,93.13
32.44,52.71,6,89.1
16.48,85.24,2,96.37
14.17,21.94,5,88.08
25.87,92.58,8,84.62
35.93,98.47,4,85.14
24.54,73.64,10,81.87
29.67,76.27,1,98.06
32.89,55.41,2,95.14
12.8,45.39,3,92.88
35.78,85.4,5,85.42
11.2,66.53,2,95.27
38.88,32.88,3,88.69
12.7,22.23,6,86.57
30.31,43.21,3,95.31
25.62,59.69,3,93.4
19.34,95.7,2,96.18
14.93,35.72,10,79.5
15.24,98.69,2,95.58
23.99,23.43,10,78.65
15.36,93.16,3,92.67
38.17,30.76,4,86.03
39.18,87.77,9,78.23
10.71,95.7,7,85.33
18.18,88.56,3,92.06
31.91,65.04,6,86.89
24.2,83.21,3,94.97
39.96,71.58,7,80.74
26.23,41.44,9,81.69
30.98,71.1,2,95.22
31.88,28.71,0,100
12.17,79.0,8,82.11
20.11,66.94,3,92.37
21.63,74.95,6,89.49
10.83,66.92,0,100
25.18,66.16,10,80.6
21.03,65.0,6,89.08
19.31,31.35,4,90.66
36.89,37.59,6,83.21
38.74,98.4,3,88.07
20.88,21.44,1,97.31
11.94,67.96,6,89.8
18.53,76.7,3,93.41
12.2,96.38,2,96.9
39.82,65.41,7,80.75
32.42,22.04,7,87.53
17.5,54.57,6,89.47
32.52,66.96,5,90.59
36.74,25.43,9,78.34
38.89,46.7,6,81.01
25.9,37.45,3,92.55
10.74,69.7,5,88.22
21.43,68.99,9,82.47
35.75,48.65,10,75.02
23.32,28.8,10,80.39
38.33,48.81,6,84.88
18.73,66.91,10,80.66
30.84,21.99,7,85.9
25.71,21.92,9,83.63
26.77,98.8,2,94.52
18.55,70.44,5,91.48
14.86,97.68,5,89.79
13.8,79.69,5,91.03
32.47,46.05,2,95.15
19.64,72.54,0,98.75
33.41,78.52,5,90.24
16.41,90.66,2,97.5
12.62,66.03,4,93.67
15.38,83.61,2,97.75
19.82,29.01,10,80.28
39.27,68.91,8,80.28
33.99,61.98,3,95.51
32.82,92.11,3,94.59
35.62,96.01,0,96.3
20.15,37.9,6,87.49
38.82,95.48,1,94.95
30.06,52.71,9,80.56
34.34,93.39,2,95.43
21.32,59.35,4,93.33
20.31,72.98,3,95.35
35.45,92.63,6,82.51
18.31,78.04,7,84.92
19.6,41.88,3,94.04
36.28,84.9,6,82.11
36.96,54.53,8,77.06
32.66,91.44,7,85.69
24.37,94.26,8,85.08
14.67,35.06,3,95.1
12.68,79.59,3,93.28
24.15,58.44,4,91.07
17.36,89.32,10,79.85
23.71,95.87,6,89.48
18.87,96.64,4,91.85
31.32,83.28,9,82.76
26.03,20.26,1,97.46
39.96,37.23,6,81.5
28.53,24.61,1,99.75
18.99,73.31,2,95.56
25.17,53.43,0,100
20.95,90.93,10,80.97
10.71,92.77,7,84.26
14.27,66.64,6,87.99
14.98,53.17,2,94.47
18.27,87.72,9,81.09
10.23,31.3,5,90.7
20.39,42.9,6,89.61
16.44,21.17,9,81.79
24.17,56.06,6,88.24
11.65,93.23,9,83.12
24.86,74.98,7,84.2
29.66,27.2,5,89.7
37.98,27.17,7,80.35
11.12,30.66,3,95.99
32.3,62.52,9,80.9
15.34,47.49,5,89.81
21.19,43.91,2,96.09
32.71,88.72,9,81.09
28.39,76.42,10,79.22
20.37,48.77,0,98.72
12.45,39.61,5,89.83
26.78,67.34,6,86.39
38.74,87.36,8,78.11
18.49,62.84,0,100
20.83,41.63,3,95.52
23.55,38.34,4,92.96
34.39,76.86,2,97.84
19.78,62.26,1,97.93
20.89,58.9,7,85.03
22.27,84.62,3,94.27
14.61,77.17,8,85.93
17.26,89.0,7,87.33
17.26,20.63,6,87.47
17.61,53.84,7,84.7
18.42,46.34,2,94.28
26.94,34.54,3,93.26
32.96,92.37,1,97.13
22.56,94.77,5,91.84
11.85,59.05,6,88.32
36.85,53.86,0,94.78
32.71,82.31,2,94.23
23.25,63.21,9,83.53
27.96,24.11,1,99.58
35.61,88.01,7,82.1
26.75,74.19,9,81.41
13.11,69.86,3,93.43
39.99,33.97,1,94.59
30.45,49.4,5,88.37
26.2,48.11,1,99.68
14.8,69.65,9,83.97
20.76,28.66,3,93.13
17.16,32.5,1,99.51
18.55,47.57,6,86.21
26.17,48.27,6,86.78
13.35,33.67,1,99.21
19.56,49.51,3,95.3
18.0,31.91,0,100
34.24,93.63,3,94.77
19.88,79.21,5,90.25
23.97,49.35,9,82.09
20.56,58.82,1,98.83
16.7,26.91,4,91.12
36.5,86.22,5,83.18
25.46,72.59,5,89.78
19.75,62.99,2,94.22
38.04,97.01,1,91.38
34.58,35.52,4,90.9
39.22,32.82,2,89.01
15.27,38.88,7,85.1
11.65,91.44,7,86.99
27.37,27.11,9,80.62
32.57,67.68,3,93.04
10.4,85.95,4,90.77
30.85,41.31,10,81.46
12.74,76.43,5,91.17
22.02,55.38,4,90.48
14.33,36.66,5,90.37
14.43,80.47,10,79.13
17.78,43.92,10,80.9
26.44,85.87,0,99.23
32.38,44.79,7,86.69
26.72,91.81,5,91.58
31.93,32.95,2,94.18
37.81,67.96,5,85.99
19.95,60.46,8,84.67
36.79,59.92,4,88.64
31.34,67.51,0,100
23.43,89.37,10,81.13
25.16,97.48,5,91.64
21.08,94.84,3,92.33
27.11,55.74,2,95.19
38.29,87.72,10,73.04
14.39,84.84,9,83.49
38.33,57.62,6,84.38
22.63,86.51,10,78.15
28.58,42.13,1,97.43
20.38,62.36,9,83.12
34.65,31.57,9,83.87
15.83,23.21,0,100
13.35,95.82,6,88.69
21.74,83.3,3,93.82
20.22,87.48,3,94.02
38.46,78.63,7,81.04
19.2,27.77,2,97.9
12.35,34.37,4,90.18
35.22,54.25,5,84.87
32.58,79.85,1,97.54
36.37,76.26,6,83.53
39.33,65.4,1,92.41
21.01,65.09,8,85.94
23.48,20.63,7,85.08
22.38,87.77,6,87.74
31.14,53.87,10,79.68
16.91,96.56,0,100
11.7,55.73,3,93.92
20.48,95.26,8,84.54
12.13,80.6,8,82.82
28.65,90.93,5,91.22
23.65,44.9,2,94.53
20.04,81.99,8,84.76
32.0,37.59,10,79.49
14.51,64.84,3,94.76
23.34,35.15,9,83.76
14.51,84.42,8,85.86
30.44,85.7,8,82.87
25.4,89.59,2,95.46
10.7,58.31,0,98.28
31.67,79.19,0,99.82
34.15,85.61,8,83.62
30.21,86.16,5,90.26
18.79,34.35,1,97.14
27.49,39.24,3,93.07
17.88,84.81,3,92.95
25.89,73.98,10,80.82
12.66,76.33,8,84.05
27.89,63.08,1,99.07
30.91,22.74,7,85.4
27.38,63.47,5,88.03
31.7,90.55,0,100
16.95,97.56,3,93.79
14.94,47.59,4,92.97
18.2,66.8,7,84.81
23.72,34.78,7,84.98
35.49,80.15,8,80.36
32.19,80.07,0,98.22
32.53,93.84,4,90.37
11.14,78.18,7,86.88
24.31,74.85,5,91.43
33.96,37.8,10,79.45
25.27,98.62,0,100
30.07,66.31,10,80.55
20.61,59.53,7,84.97
30.03,37.04,1,98.89
38.37,50.53,8,80.25
31.19,91.34,9,81.7
10.88,52.59,4,93.38
34.5,71.74,4,91.44
16.83,33.49,4,91.68
35.65,39.52,2,89.64
21.5,54.8,5,88.01
31.75,63.28,8,83.27
10.42,62.23,6,86.02
12.73,85.25,7,84.66
20.85,68.36,8,85.54
28.22,35.67,6,86.65
15.37,22.48,8,85.01
22.21,30.38,4,91.6
17.54,57.44,3,92.09
16.9,54.11,1,97.93
39.87,84.93,0,95.75
26.55,75.21,7,87.49
31.86,65.16,10,78.8
32.9,81.23,8,82.88
20.04,76.95,0,100
22.47,90.25,10,81.0
37.26,69.25,6,83.07
20.87,50.14,2,96.92
24.85,46.86,5,91.52
13.78,69.31,1,99.7
28.29,84.46,3,95.77
19.32,88.15,3,95.26
11.48,74.8,2,95.67
24.11,51.39,3,92.75
18.99,48.95,2,96.77
13.99,28.98,9,80.77
36.31,25.6,7,82.37
16.16,68.67,6,86.4
15.53,81.15,4,90.47
34.96,88.53,3,93.35
23.58,23.5,3,94.03
14.23,52.58,3,93.6
16.29,40.16,2,94.59
31.66,48.13,9,82.91
33.23,23.0,3,92.96
36.85,88.35,8,77.02
19.16,87.76,1,96.73
31.35,56.7,9,81.42
34.53,82.91,7,87.07
36.54,45.38,4,87.92
23.82,27.87,6,87.72
32.96,50.79,4,92.7
29.2,22.41,8,83.37
25.67,51.76,4,90.1
36.14,86.21,0,93.29
11.29,87.49,1,97.51
31.22,81.16,7,86.79
23.75,55.8,7,85.91
13.18,73.94,4,93.61
19.31,83.54,10,81.65
23.43,30.58,5,88.57
22.21,56.41,7,86.57
24.11,42.56,5,89.65
18.95,49.75,9,83.8
27.65,76.85,7,84.88
22.92,31.54,9,80.76
19.14,49.5,9,82.28
15.5,50.4,4,90.1
21.28,24.75,3,93.45
23.03,27.99,7,86.8
24.53,22.43,0,100
27.38,66.18,9,82.89
35.19,75.24,10,73.34
28.69,36.99,2,94.78
10.23,92.84,7,84.61
14.2,53.22,7,86.48
21.76,88.47,2,94.34
33.25,87.9,3,94.49
13.9,41.03,3,94.31
22.62,20.44,9,82.3
23.35,39.67,1,97.8
10.6,58.16,7,85.14
22.54,51.88,9,82.83
19.52,61.7,0,100
13.99,36.07,5,90.32
22.93,21.06,2,97.82
27.81,73.25,4,92.17
16.98,78.85,3,95.86
24.43,45.46,5,91.71
20.98,63.26,2,96.05
20.66,97.87,6,88.25
12.24,47.58,7,84.18
28.01,40.72,2,95.41
35.99,60.67,7,82.65
29.39,98.86,1,98.1
24.24,57.43,1,99.25
31.56,26.95,10,81.38
39.65,93.99,7,82.87
29.01,51.78,10,78.45
11.08,53.66,0,98.28
39.25,93.91,0,93.69
24.92,39.86,10,81.23
11.0,85.94,7,84.82
13.34,88.35,9,80.45
24.67,36.03,2,97.18
13.85,94.73,8,83.76
27.17,98.54,6,89.81
14.4,56.29,3,94.88
23.7,94.29,7,84.5
24.77,41.73,1,98.74
31.21,34.19,10,78.38
36.54,83.33,9,75.72
35.26,56.43,3,88.13
38.98,48.61,10,75.01
31.28,90.71,1,98.46
36.97,27.17,5,85.45
14.16,38.98,1,98.02
34.11,77.75,1,96.3
10.54,65.63,8,85.46
17.92,21.43,8,82.01
14.42,76.22,3,93.69
24.22,87.81,3,94.48
22.56,27.16,10,80.39
19.81,63.75,3,92.52
14.39,51.7,8,83.31
33.14,94.8,3,94.38
23.73,76.86,6,87.68
11.41,30.04,7,86.72
15.5,76.43,1,97.71
33.06,71.21,2,97.49
37.0,70.48,2,91.45
29.07,24.81,4,92.59
24.52,50.12,6,88.71
31.93,43.84,6,87.99
17.9,92.47,9,80.97
11.52,21.13,6,86.33
17.2,79.61,10,81.22
28.38,20.35,9,83.0
19.6,82.49,7,87.83
23.87,36.55,0,99.94
13.33,60.62,4,93.88
33.37,62.72,7,86.22
22.95,22.24,4,92.87
21.72,37.39,1,97.84
29.36,32.96,3,92.57
37.85,44.08,6,84.77
16.37,20.19,2,94.57
28.62,80.52,2,97.72
34.84,30.19,7,84.01
20.68,51.86,7,84.54
13.92,64.43,6,87.57
22.46,45.13,8,84.05
15.03,22.71,3,93.23
25.69,28.59,4,90.99
36.44,32.95,5,85.16
37.94,44.5,8,77.45
26.43,96.09,1,96.13
24.63,75.74,7,84.73
28.21,83.59,3,94.04
23.5,90.67,5,88.46
18.42,64.24,7,84.33
31.14,50.46,4,90.17
22.2,49.92,7,84.34
13.82,91.29,4,93.87
30.31,29.4,8,84.05
25.34,63.97,10,79.0
20.53,28.76,1,99.62
27.17,97.72,4,93.19
33.91,96.91,4,91.93
32.69,68.59,8,82.78
37.7,43.84,1,91.92
14.63,69.19,1,97.95
18.11,52.72,2,97.4
17.96,79.42,6,87.79
35.78,94.15,2,92.98
16.42,79.64,0,100
22.64,27.77,7,87.54
27.34,47.94,7,86.73
10.35,58.48,7,85.93
25.87,93.07,0,99.05
20.17,66.97,9,83.22
25.31,22.6,6,86.6
33.6,80.72,8,84.23
39.87,66.67,8,77.39
28.52,80.99,2,95.58
34.38,95.19,9,81.75
22.04,34.31,6,88.22
24.31,74.84,4,90.32
30.65,90.21,6,87.9
22.28,39.11,0,99.81
35.77,92.52,2,91.03
37.51,82.65,6,84.76
12.42,96.45,7,84.12
20.08,99.4,7,87.99
11.28,37.6,5,90.12
24.68,67.36,4,93.08
16.01,76.85,0,98.44
14.54,36.34,6,86.11
21.0,20.15,6,86.27
32.16,27.47,4,91.98
29.37,65.28,4,90.65
20.4,52.56,3,94.51
21.19,37.8,3,95.94
21.03,43.84,6,86.11
17.31,74.27,10,79.17
36.41,95.9,5,85.88
17.46,66.91,6,89.14
21.07,35.91,7,87.2
20.41,92.4,2,95.59
38.78,23.16,9,77.41
14.56,80.51,0,100
39.71,26.26,1,94.21
12.46,58.0,10,79.29
13.72,40.97,3,94.78
29.67,82.5,2,95.36
31.45,64.36,7,85.68
26.21,39.31,0,100
17.86,58.64,6,87.47
24.66,50.58,0,100
